age,total,male,female
0,2,2,0
1,25,7,18
2,11,11,0
3,6,2,4
4,25,12,13
5,32,18,14
6,30,14,16
7,11,0,11
8,53,36,17
9,46,26,20
10,42,22,20
11,27,8,19
12,23,11,12
13,27,25,2
14,19,13,6
15,30,27,3
16,38,20,18
17,67,50,17
18,57,47,10
19,80,59,21
20,108,66,42
21,85,54,31
22,132,97,35
23,75,39,36
24,89,57,32
25,134,82,52
26,115,77,38
27,102,80,22
28,130,71,59
29,63,43,20
30,117,72,45
31,40,27,13
32,87,67,20
33,47,36,11
34,73,35,38
35,74,53,21
36,62,38,24
37,57,46,11
38,47,32,15
39,31,17,14
40,58,31,27
41,30,23,7
42,47,32,15
43,27,22,5
44,19,9,10
45,39,34,5
46,19,6,13
47,11,8,3
48,23,9,14
49,29,16,13
50,28,15,13
51,12,10,2
52,15,11,4
53,12,10,2
54,14,9,5
55,8,3,5
56,12,7,5
57,0,0,0
58,14,13,1
59,10,5,5
60,15,6,9
61,6,0,6
62,8,3,5
63,5,0,5
64,6,3,3
65,3,1,2
66,2,2,0
67,1,1,0
68,3,3,0
69,2,2,0
70,6,1,5
71,1,0,1
72,3,3,0
73,1,0,1
74,4,0,4
75,4,2,2
76,1,0,1
77,2,1,1
78,1,0,1
79,0,0,0
80,4,2,2
81,0,0,0
82,0,0,0
83,1,1,0
84,0,0,0
85,0,0,0
86,0,0,0
87,1,0,1
88,0,0,0
89,0,0,0
90,0,0,0